,ts_code,symbol,name,area,industry,list_date
532,002007.SZ,002007.SZ#E,华兰生物,河南,生物制药,20040625
533,002008.SZ,002008.SZ#E,大族激光,深圳,专用机械,20040625
534,002009.SZ,002009.SZ#E,天奇股份,江苏,工程机械,20040629
535,002010.SZ,002010.SZ#E,传化智联,浙江,仓储物流,20040629
536,002011.SZ,002011.SZ#E,盾安环境,浙江,家用电器,20040705
537,002012.SZ,002012.SZ#E,凯恩股份,浙江,造纸,20040705
538,002014.SZ,002014.SZ#E,永新股份,安徽,塑料,20040708
539,002015.SZ,002015.SZ#E,协鑫能科,江苏,新型电力,20040708
540,002016.SZ,002016.SZ#E,世荣兆业,广东,区域地产,20040708
541,002017.SZ,002017.SZ#E,东信和平,广东,通信设备,20040713
542,002019.SZ,002019.SZ#E,亿帆医药,浙江,化学制药,20040713
543,002020.SZ,002020.SZ#E,京新药业,浙江,化学制药,20040715
544,002021.SZ,002021.SZ#E,*ST中捷,浙江,纺织机械,20040715
545,002022.SZ,002022.SZ#E,科华生物,上海,医疗保健,20040721
546,002023.SZ,002023.SZ#E,海特高新,四川,航空,20040721
547,002024.SZ,002024.SZ#E,ST易购,江苏,电器连锁,20040721
548,002025.SZ,002025.SZ#E,航天电器,贵州,元器件,20040726
549,002026.SZ,002026.SZ#E,山东威达,山东,机械基件,20040727
550,002027.SZ,002027.SZ#E,分众传媒,广东,广告包装,20040804
551,002028.SZ,002028.SZ#E,思源电气,上海,电气设备,20040805
552,002029.SZ,002029.SZ#E,七匹狼,福建,服饰,20040806
553,002030.SZ,002030.SZ#E,达安基因,广东,医疗保健,20040809
554,002031.SZ,002031.SZ#E,巨轮智能,广东,汽车配件,20040816
555,002032.SZ,002032.SZ#E,苏泊尔,浙江,家用电器,20040817
556,002033.SZ,002033.SZ#E,丽江股份,云南,旅游景点,20040825
557,002034.SZ,002034.SZ#E,旺能环境,浙江,环境保护,20040826
558,002035.SZ,002035.SZ#E,华帝股份,广东,家用电器,20040901
559,002036.SZ,002036.SZ#E,联创电子,江西,元器件,20040903
560,002037.SZ,002037.SZ#E,保利联合,贵州,化工原料,20040908
561,002038.SZ,002038.SZ#E,双鹭药业,北京,生物制药,20040909
562,002039.SZ,002039.SZ#E,黔源电力,贵州,水力发电,20050303
563,002040.SZ,002040.SZ#E,南京港,江苏,港口,20050325
564,002041.SZ,002041.SZ#E,登海种业,山东,种植业,20050418
565,002042.SZ,002042.SZ#E,华孚时尚,安徽,纺织,20050427
566,002043.SZ,002043.SZ#E,兔宝宝,浙江,其他建材,20050510
567,002044.SZ,002044.SZ#E,美年健康,江苏,医疗保健,20050518
568,002045.SZ,002045.SZ#E,国光电器,广东,元器件,20050523
569,002046.SZ,002046.SZ#E,国机精工,河南,机械基件,20050526
570,002047.SZ,002047.SZ#E,宝鹰股份,深圳,装修装饰,20050531
571,002048.SZ,002048.SZ#E,宁波华翔,浙江,汽车配件,20050603
572,002049.SZ,002049.SZ#E,紫光国微,河北,半导体,20050606
573,002050.SZ,002050.SZ#E,三花智控,浙江,家用电器,20050607
574,002051.SZ,002051.SZ#E,中工国际,北京,建筑工程,20060619
575,002052.SZ,002052.SZ#E,ST同洲,深圳,电气设备,20060627
576,002053.SZ,002053.SZ#E,云南能投,云南,食品,20060627
